text,label
"Flying in The States used to be a pleasant experience. Thanks for ruining that",complaint
"are box allowed as checked in luggage?",request
"hello, i was unable to add my skymiles # to my trip today. can you help me?",request
"hey  can I transfer my points earned from flying to hilton honor points?",request
"will be missing flight 3453 to Columbia due to closed precheck and inefficient security at ORD. Any suggestions?",request
"flight to Lubbock cancelled due to weather in Houston. Need help rebooking ASAP",request
"just booked some flights via  but I can't add them to my reservations in you app. Help!",request
"Just had an excellent display of customer service from  - very helpful and resolved our potential issues ahead of our flight.",compliment
"good flight in from HKG today. Solid BC service.",compliment
"S/O to  for having the best flight crew I've ever had. These flight attendants deserve raises.",compliment
"is there any fee or charges for canceling or changing award tickets within 24 hours of booking? thanks,",request
"does not mean giving scalding hot tea and creamers separately to them. how do you expect them do manage to put the creamers..",request
"Hey  flight 1606 out of DFW is just sitting at the gate. Any update on why / how long?",request
"Muchas gracias for the great service  and Fernando Gonzalez.",compliment
"Thanks  , been in Newark for 6 hours because they changed my flight with no warning then delayed the flight.........",complaint
"Hey  nice job: Welcome to San Diego! Your bag has arrived on an earlier flight. Please see a United Baggage Service representative.",compliment
"storm is brewing... #dfw get me home.. ",compliment
"by far, has the most unhelpful and arrogant employees, who are very incapable of handling the responsibilities of their job.",complaint
"Some good internet speeds on my  flight w/  Definitely better than my previous experiences #avgeek",compliment
"Kudos to  for finally delivering impeccable #firstclass service! 1417",compliment
"I have fully experienced why  is the worst airline in the industry",complaint
"sitting on DL2152, delayed, no water, aircraft not cleaned, very dissatisfied",complaint
"- You have ruined my vacation. I was at the gate for AA196, you closed the door. Never again.",complaint
"Please donâ€™t follow  Iâ€™ve preferred you, so far. Lead by customer satisfaction!",compliment
". lost good customers. Couldn't fly to L.A., got put on hold FOREVER to cancel, and had to finally hang up for work. Lost tix.",complaint
"Very disappointed in  customer service. still waiting for a promised call back several days later. guess im switching airlines.",complaint
"Take  instead. Passengers may be of a different calibre, better behaved &amp; top notch cabin crew service ",compliment
"wow super gusty winds pilot on #774 showed nerves of Steele thanks for getting us on the ground safely!",compliment
"how can I put my trip on to my points account?",request
"They were very rude to me &amp; blamed me for the whole thing. Every single  person I encountered blamed me",complaint
"not very good service",complaint
"My wife &amp; daughter flew  yesterday. It was memorable in that they will NEVER fly United again. Congrats on your achievement.",complaint
"flight delayed and aircraft now out of service for leaky windshield. Reason 500 why you are the worst airline out there",complaint
"My disappointment w  &amp;  is immeasurable. I just wish someone w a clue could help me instead of passing me back &amp; forth",complaint
"Also,  I did want to make it clear that we had a great flight from ORD - SFO and the crew was amazing. But why did you swap planes?",compliment
"Just talked to the most rude Rep on the phone I have ever talked to from any company. In shock right now from the threats made.",complaint
"waited in line for 2 hrs @ the gate because gate agent was saying something else than your 1800# No communication! Terrible service",complaint
"on #Periscope:  #upset #disappointed #stressed  YOU ARE TERRIBLE",complaint
"Gracious   passengers, crew &amp; security: Thanks so much for helping me get my Kiddo safely on her flight in time.",compliment
"Another customer failed - last time I fly Delta! Good riddance. I bet  wouldn't pull this shit on their customers.",complaint
"Great  gate folks at PDX. Mechanical issue meant a rerouting to KC. Quick, easy, pleasant!",compliment
